date,dq,zcq,gjj,ding3,ding6,zyxm,dfxm
1989/02,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/03,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/04,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/05,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/06,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/07,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/08,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/09,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/10,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/11,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1989/12,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1990/01,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1990/02,11.34 ,19.26 ,N/A,7.56 ,9.00 ,N/A,N/A
1990/03,10.08 ,11.88 ,N/A,7.56 ,9.00 ,N/A,N/A
1990/04,10.08 ,11.88 ,N/A,6.30 ,7.74 ,N/A,N/A
1990/05,10.08 ,11.88 ,N/A,6.30 ,7.74 ,N/A,N/A
1990/06,10.08 ,11.88 ,N/A,6.30 ,7.74 ,N/A,N/A
1990/07,10.08 ,11.88 ,N/A,6.30 ,7.74 ,N/A,N/A
1990/08,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1990/09,9.36 ,11.16 ,N/A,4.33 ,6.48 ,N/A,N/A
1990/10,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1990/11,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1990/12,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1991/01,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1991/02,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1991/03,9.36 ,11.16 ,N/A,4.32 ,6.48 ,N/A,N/A
1991/04,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/05,8.64 ,9.72 ,N/A,3.25 ,5.40 ,N/A,N/A
1991/06,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/07,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/08,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/09,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/10,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/11,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1991/12,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/01,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/02,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/03,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/04,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/05,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/06,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/07,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/08,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/09,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/10,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/11,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1992/12,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1993/01,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1993/02,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1993/03,8.64 ,9.72 ,N/A,3.25 ,5.40 ,N/A,N/A
1993/04,8.64 ,9.72 ,N/A,3.24 ,5.40 ,N/A,N/A
1993/05,9.36 ,12.24 ,N/A,4.86 ,7.20 ,N/A,N/A
1993/06,9.36 ,12.24 ,N/A,4.86 ,7.20 ,N/A,N/A
1993/07,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1993/08,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1993/09,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1993/10,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1993/11,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1993/12,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/01,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/02,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/03,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/04,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/05,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/06,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/07,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/08,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/09,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/10,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/11,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1994/12,10.98 ,14.04 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/01,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/02,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/03,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/04,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/05,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/06,10.98 ,14.76 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/07,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/08,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/09,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/10,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/11,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1995/12,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1996/01,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1996/02,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1996/03,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1996/04,12.06 ,15.30 ,N/A,6.66 ,9.00 ,N/A,N/A
1996/05,10.98 ,15.12 ,N/A,4.86 ,7.20 ,N/A,N/A
1996/06,10.98 ,15.12 ,N/A,4.86 ,7.20 ,N/A,N/A
1996/07,10.98 ,15.12 ,N/A,4.86 ,7.20 ,N/A,N/A
1996/08,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1996/09,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1996/10,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1996/11,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1996/12,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/01,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/02,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/03,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/04,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/05,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/06,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/07,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/08,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/09,10.08 ,12.42 ,N/A,3.33 ,5.40 ,N/A,N/A
1997/10,8.64 ,10.53 ,N/A,2.88 ,4.14 ,N/A,N/A
1997/11,8.64 ,10.53 ,N/A,2.88 ,4.14 ,N/A,N/A
1997/12,8.64 ,10.53 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/01,8.64 ,10.53 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/02,8.64 ,10.53 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/03,7.92 ,10.35 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/04,7.92 ,10.35 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/05,7.92 ,10.35 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/06,7.92 ,10.35 ,N/A,2.88 ,4.14 ,N/A,N/A
1998/07,6.93 ,8.01 ,N/A,2.79 ,3.96 ,N/A,N/A
1998/08,6.93 ,8.01 ,N/A,2.79 ,3.96 ,N/A,N/A
1998/09,6.93 ,8.01 ,N/A,2.79 ,3.96 ,N/A,N/A
1998/10,6.93 ,8.01 ,N/A,2.79 ,3.96 ,N/A,N/A
1998/11,6.93 ,8.01 ,N/A,2.79 ,3.96 ,N/A,N/A
1998/12,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/01,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/02,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/03,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/04,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/05,6.39 ,7.56 ,N/A,2.79 ,3.33 ,N/A,N/A
1999/06,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/07,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/08,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/09,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/10,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/11,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
1999/12,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/01,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/02,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/03,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/04,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/05,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/06,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/07,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/08,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/09,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/10,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/11,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2000/12,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2001/01,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2001/02,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,18.60 ,81.40 
2001/03,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,20.90 ,79.10 
2001/04,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,20.70 ,79.30 
2001/05,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,21.80 ,78.20 
2001/06,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,22.10 ,77.90 
2001/07,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,22.20 ,77.80 
2001/08,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,22.30 ,77.70 
2001/09,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,22.20 ,77.80 
2001/10,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,22.50 ,77.50 
2001/11,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,23.10 ,77.10 
2001/12,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,21.80 ,70.90 
2002/01,5.85 ,6.21 ,4.59 ,1.98 ,2.16 ,N/A,N/A
2002/02,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,17.90 ,82.10 
2002/03,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,22.70 ,77.30 
2002/04,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,18.70 ,81.30 
2002/05,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,19.10 ,80.90 
2002/06,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,23.00 ,82.00 
2002/07,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,17.90 ,82.10 
2002/08,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,17.80 ,82.20 
2002/09,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,17.90 ,82.10 
2002/10,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,18.10 ,81.90 
2002/11,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,18.40 ,81.60 
2002/12,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,18.00 ,74.90 
2003/01,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,N/A,N/A
2003/02,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,13.20 ,86.80 
2003/03,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,14.40 ,85.60 
2003/04,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,14.80 ,85.20 
2003/05,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,13.10 ,86.90 
2003/06,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,12.30 ,87.70 
2003/07,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,12.00 ,88.00 
2003/08,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,11.80 ,88.20 
2003/09,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,11.80 ,88.20 
2003/10,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,11.70 ,88.30 
2003/11,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,12.00 ,88.00 
2003/12,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,13.30 ,79.80 
2004/01,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,N/A,N/A
2004/02,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,16.70 ,83.40 
2004/03,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.90 ,84.10 
2004/04,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,16.30 ,83.70 
2004/05,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.90 ,84.10 
2004/06,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.40 ,84.60 
2004/07,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.80 ,84.20 
2004/08,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.60 ,84.40 
2004/09,5.31 ,5.76 ,4.05 ,1.71 ,1.89 ,15.30 ,84.70 
2004/10,5.58 ,6.12 ,4.23 ,1.71 ,2.07 ,15.30 ,84.70 
